ethnic_sentiment,rural,unemployed,male,education,age,age_sq,dist_match,post_victory,country_match_fe,country_year_fe,language_year_id,future_victory,day,month,dayweek
Ethnic id more than national,0,0,0,5,19,361,15,0,2547,27,200,1,17,5,6
National and ethnic ids equal,1,1,1,6,28,784,15,0,2547,27,200,1,17,5,6
National id more than ethnic,0,0,1,8,26,676,3,0,1386,15,199,1,1,9,4
National and ethnic ids equal,0,0,0,7,25,625,6,0,1386,15,199,1,29,8,1
Ethnic id only,0,0,0,5,45,2025,15,0,2547,27,200,1,17,5,6
National and ethnic ids equal,1,0,1,6,24,576,2,0,1386,15,199,1,2,9,5
National id only,1,0,1,5,35,1225,14,0,2547,27,200,1,18,5,0
National and ethnic ids equal,0,1,0,3,23,529,4,0,1386,15,199,1,31,8,3
National and ethnic ids equal,0,1,0,5,25,625,15,0,2547,27,200,1,17,5,6
National id more than ethnic,1,0,0,2,40,1600,15,0,2547,27,200,1,17,5,6
National id only,1,0,0,5,27,729,13,0,2547,27,200,1,19,5,1
National and ethnic ids equal,1,0,0,0,65,4225,-1,1,1386,15,199,0,5,9,1
National and ethnic ids equal,0,1,0,6,24,576,4,0,1386,15,199,1,31,8,3
National id more than ethnic,1,1,0,5,22,484,12,0,2547,27,200,1,20,5,2
National and ethnic ids equal,0,0,1,3,56,3136,3,0,1386,15,199,1,1,9,4
Ethnic id more than national,1,0,0,2,45,2025,1,0,1386,15,199,1,3,9,6
National and ethnic ids equal,0,1,0,6,25,625,15,0,2547,27,200,1,17,5,6
National id more than ethnic,1,0,0,2,33,1089,15,0,2547,27,200,1,17,5,6
National id more than ethnic,0,0,1,6,29,841,4,0,1386,15,199,1,31,8,3
National id only,0,0,1,6,59,3481,5,0,1386,15,199,1,30,8,2
National and ethnic ids equal,1,1,0,5,19,361,1,0,1386,15,199,1,3,9,6
National id only,1,0,0,4,20,400,14,0,2547,27,200,1,18,5,0
National and ethnic ids equal,1,0,0,6,30,900,14,0,2547,27,200,1,18,5,0
National and ethnic ids equal,1,0,0,4,26,676,14,0,2547,27,200,1,18,5,0
National id only,0,0,0,6,25,625,14,0,2547,27,200,1,18,5,0
National and ethnic ids equal,0,0,0,6,27,729,13,0,2547,27,200,1,19,5,1
National and ethnic ids equal,0,0,1,5,29,841,3,0,1386,15,199,1,1,9,4
National and ethnic ids equal,0,1,0,5,23,529,13,0,2547,27,200,1,19,5,1
National and ethnic ids equal,1,0,0,6,34,1156,15,0,2547,27,200,1,17,5,6
National and ethnic ids equal,0,0,1,4,19,361,4,0,1386,15,199,1,31,8,3
National id more than ethnic,1,0,1,6,24,576,14,0,2547,27,200,1,18,5,0
National id only,1,1,1,2,20,400,1,0,1386,15,199,1,3,9,6
National and ethnic ids equal,0,0,1,5,25,625,3,0,1386,15,199,1,1,9,4
Ethnic id only,1,1,0,5,24,576,10,0,2547,27,200,1,22,5,4
National id more than ethnic,0,0,1,5,38,1444,3,0,1386,15,199,1,1,9,4
National and ethnic ids equal,0,0,0,6,24,576,3,0,1386,15,199,1,1,9,4
National and ethnic ids equal,0,0,0,5,49,2401,6,0,1386,15,199,1,29,8,1
National and ethnic ids equal,0,1,1,5,26,676,3,0,1386,15,199,1,1,9,4
National and ethnic ids equal,0,0,0,5,19,361,4,0,1386,15,199,1,31,8,3
National and ethnic ids equal,0,0,0,5,25,625,3,0,1386,15,199,1,1,9,4
Ethnic id more than national,1,0,1,0,55,3025,2,0,1386,15,199,1,2,9,5
National id only,1,0,0,2,38,1444,14,0,2547,27,202,1,18,5,0
National and ethnic ids equal,1,1,1,4,25,625,14,0,2547,27,202,1,18,5,0
National id more than ethnic,0,0,0,5,20,400,4,0,1386,15,201,1,31,8,3
National id only,0,0,1,5,40,1600,13,0,2547,27,202,1,19,5,1
National and ethnic ids equal,0,0,1,6,35,1225,15,0,2547,27,202,1,17,5,6
National and ethnic ids equal,0,1,1,5,40,1600,5,0,1386,15,201,1,30,8,2
National and ethnic ids equal,0,0,1,7,25,625,4,0,1386,15,201,1,31,8,3
National id only,1,0,0,5,21,441,14,0,2547,27,202,1,18,5,0
National id only,0,0,0,2,22,484,15,0,2547,27,202,1,17,5,6
National id only,1,1,0,3,27,729,13,0,2547,27,202,1,19,5,1
National and ethnic ids equal,1,1,0,4,18,324,14,0,2547,27,202,1,18,5,0
National id more than ethnic,0,1,0,7,25,625,4,0,1386,15,201,1,31,8,3
National id only,1,0,0,5,43,1849,14,0,2547,27,202,1,18,5,0
National and ethnic ids equal,0,1,0,5,21,441,4,0,1386,15,201,1,31,8,3
National id more than ethnic,1,1,0,3,20,400,4,0,1386,15,201,1,31,8,3
National id only,1,1,1,5,23,529,14,0,2547,27,202,1,18,5,0
National and ethnic ids equal,0,0,1,4,34,1156,2,0,1386,15,201,1,2,9,5
National id more than ethnic,0,0,1,6,23,529,4,0,1386,15,201,1,31,8,3
National and ethnic ids equal,0,0,0,6,24,576,7,0,1386,15,201,1,28,8,0
