ln_uwe , ln_ahe , age , sex , race , years_ed
6.0920057763 , 2.4031263222 , 27 , 1 , 1 , 12
6.0920057763 , 2.4031263222 , 29 , 1 , 1 , 12
6.3168869475 , 2.3095537623 , 45 , 2 , 1 , 12
5.3207902224 , 1.6319107683 , 31 , 1 , 1 , 12
3.9861309776 , 0.2972515235 , 30 , 2 , 1 , 16
5.7291002826 , 2.0402208285 , 25 , 1 , 1 , 16
6.2887160706 , 2.5998366165 , 29 , 2 , 1 , 14
6.4222474632 , 2.7333680091 , 32 , 1 , 1 , 14
3.2262559322 , 1.839961571 , 31 , 2 , 1 , 16
6.8685345658 , 2.7741900036 , 50 , 1 , 1 , 12
5.7897249045 , 2.234376843 , 39 , 2 , 1 , 18
6.0475540138 , 2.3586745596 , 37 , 1 , 1 , 12
5.1719034417 , 1.1645702565 , 29 , 2 , 1 , 16
5.5641519339 , 1.8752724798 , 46 , 2 , 1 , 18
6.3904987649 , 2.3831655797 , 28 , 1 , 1 , 12
6.3577089421 , 2.6688294879 , 42 , 1 , 1 , 12
6.3577089421 , 2.3503757568 , 34 , 2 , 1 , 16
6.6453910145 , 2.5510464523 , 40 , 1 , 1 , 18
5.952243834 , 3.1796551117 , 35 , 2 , 1 , 16
6.5940977201 , 2.8564281018 , 35 , 1 , 1 , 12
6.3577089421 , 2.6688294879 , 44 , 1 , 1 , 13
6.0920057763 , 2.4031263222 , 37 , 1 , 1 , 16
6.2523484264 , 2.5634689723 , 40 , 1 , 1 , 18
6.9818632511 , 3.292983797 , 33 , 1 , 1 , 16
5.4414182102 , 1.7525387561 , 32 , 2 , 1 , 16
5.598421959 , 1.9095425049 , 28 , 1 , 1 , 16
6.0604574186 , 2.2537949288 , 26 , 1 , 1 , 18
6.2146080984 , 2.5257286443 , 33 , 2 , 1 , 12
6.7631740502 , 3.0742945961 , 44 , 2 , 1 , 12
6.1753873853 , 2.2633643798 , 39 , 2 , 1 , 18
7.641714454 , 3.393219212 , 47 , 1 , 1 , 20
5.2983173665 , 2.6592600369 , 43 , 2 , 1 , 15
6.4530191219 , 2.4456859366 , 39 , 1 , 1 , 13
7.2404610328 , 3.433798543 , 50 , 1 , 1 , 16
6.8469431396 , 3.1580636855 , 36 , 1 , 1 , 18
6.251644475 , 2.7859085722 , 35 , 2 , 1 , 12
5.2983173665 , 1.6094379124 , 25 , 1 , 2 , 12
7.1620744478 , 3.524488288 , 47 , 2 , 1 , 12
6.9818632511 , 3.0698402457 , 29 , 1 , 1 , 16
6.8883371931 , 3.199457739 , 40 , 1 , 1 , 13
5.7778904468 , 1.8658674414 , 36 , 2 , 1 , 13
6.6478380182 , 3.1821021154 , 43 , 2 , 1 , 14
6.8685345658 , 3.0618720761 , 42 , 1 , 1 , 16
5.5592012458 , 2.0038531844 , 50 , 2 , 1 , 12
